Time,Discharge(m3/s)
1/1/2011,"	8.93"
1/2/2011,"	8.52"
1/3/2011,"	8.5"
1/4/2011,"	8.41"
1/5/2011,"	8.31"
1/6/2011,"	8.27"
1/7/2011,"	11.3"
1/8/2011,"	13.6"
1/9/2011,"	11.2"
1/10/2011,"	14"
1/11/2011,"	16.2"
1/12/2011,"	13"
1/13/2011,"	11.4"
1/14/2011,"	10.4"
1/15/2011,"	9.76"
1/16/2011,"	9.28"
1/17/2011,"	8.78"
1/18/2011,"	8.41"
1/19/2011,"	8.16"
1/20/2011,"	7.84"
1/21/2011,"	7.5"
1/22/2011,"	7.19"
1/23/2011,"	7.26"
1/24/2011,"	7.34"
1/25/2011,"	8.16"
1/26/2011,"	7.19"
1/27/2011,"	6.84"
1/28/2011,"	7.1"
1/29/2011,"	6.8"
1/30/2011,"	7.01"
1/31/2011,"	6.74"
2/1/2011,"	6.33"
2/2/2011,"	6.12"
2/3/2011,"	5.76"
2/4/2011,"	5.58"
2/5/2011,"	5.61"
2/6/2011,"	5.62"
2/7/2011,"	5.51"
2/8/2011,"	5.45"
2/9/2011,"	5.24"
2/10/2011,"	5.12"
2/11/2011,"	5.05"
2/12/2011,"	4.89"
2/13/2011,"	4.75"
2/14/2011,"	4.72"
2/15/2011,"	5.43"
2/16/2011,"	6.72"
2/17/2011,"	6.3"
2/18/2011,"	5.38"
2/19/2011,"	4.98"
2/20/2011,"	4.91"
2/21/2011,"	4.86"
2/22/2011,"	4.68"
2/23/2011,"	4.5"
2/24/2011,"	4.33"
2/25/2011,"	4.2"
2/26/2011,"	4.14"
2/27/2011,"	4.04"
2/28/2011,"	3.91"
3/1/2011,"	3.89"
3/2/2011,"	3.74"
3/3/2011,"	3.84"
3/4/2011,"	3.81"
3/5/2011,"	3.66"
3/6/2011,"	3.52"
3/7/2011,"	3.45"
3/8/2011,"	3.29"
3/9/2011,"	3.47"
3/10/2011,"	3"
3/11/2011,"	2.94"
3/12/2011,"	3.1"
3/13/2011,"	8.34"
3/14/2011,"	7.37"
3/15/2011,"	6.77"
3/16/2011,"	20.5"
3/17/2011,"	14.6"
3/18/2011,"	9.44"
3/19/2011,"	8.18"
