Time,Mean Temperature(C)
1/1/2008,"	3.3"
1/2/2008,"	3.4"
1/3/2008,"	2.2"
1/4/2008,"	3.9"
1/5/2008,"	4.9"
1/6/2008,"	6.6"
1/7/2008,"	5.8"
1/8/2008,"	4.6"
1/9/2008,"	4.1"
1/10/2008,"	4.7"
1/11/2008,"	6.1"
1/12/2008,"	4.4"
1/13/2008,"	3.9"
1/14/2008,"	3"
1/15/2008,"	4.1"
1/16/2008,"	4.1"
1/17/2008,"	3.7"
1/18/2008,"	5.2"
1/19/2008,"	5.9"
1/20/2008,"	5.6"
1/21/2008,"	4.5"
1/22/2008,"	7.4"
1/23/2008,"	4.8"
1/24/2008,"	4.9"
1/25/2008,"	5.6"
1/26/2008,"	6.4"
1/27/2008,"	7.6"
1/28/2008,"	11.7"
1/29/2008,"	8.4"
1/30/2008,"	8.2"
1/31/2008,"	7.4"
2/1/2008,"	5.7"
2/2/2008,"	5.9"
2/3/2008,"	2.8"
2/4/2008,"	2.1"
2/5/2008,"	3.7"
2/6/2008,"	5.4"
2/7/2008,"	6.5"
2/8/2008,"	5.2"
2/9/2008,"	4.9"
2/10/2008,"	4.2"
2/11/2008,"	3.8"
2/12/2008,"	3.3"
2/13/2008,"	3.3"
2/14/2008,"	3.5"
2/15/2008,"	3.5"
2/16/2008,"	4.6"
2/17/2008,"	4"
2/18/2008,"	3.9"
2/19/2008,"	4.1"
2/20/2008,"	5.8"
2/21/2008,"	6.6"
2/22/2008,"	7.2"
2/23/2008,"	7.8"
2/24/2008,"	7.5"
2/25/2008,"	7.2"
2/26/2008,"	8.5"
2/27/2008,"	9.2"
2/28/2008,"	10.2"
2/29/2008,"	9.9"
3/1/2008,"	10.9"
3/2/2008,"	11.8"
3/3/2008,"	9.6"
3/4/2008,"	7.8"
3/5/2008,"	6"
3/6/2008,"	4.8"
3/7/2008,"	5.7"
3/8/2008,"	6"
3/9/2008,"	6.8"
3/10/2008,"	4"
3/11/2008,"	7.1"
3/12/2008,"	11.8"
3/13/2008,"	10.6"
3/14/2008,"	9.8"
3/15/2008,"	9.9"
3/16/2008,"	11.4"
3/17/2008,"	9.8"
3/18/2008,"	9.6"
3/19/2008,"	6.3"
3/20/2008,"	6.1"
3/21/2008,"	6.1"
3/22/2008,"	5.9"
3/23/2008,"	2.6"
3/24/2008,"	2.4"
3/25/2008,"	5.8"
3/26/2008,"	6.8"
3/27/2008,"	5.2"
3/28/2008,"	7.5"
3/29/2008,"	9.6"
3/30/2008,"	9.9"
3/31/2008,"	8.8"
4/1/2008,"	11"
4/2/2008,"	12.7"
4/3/2008,"	11.7"
4/4/2008,"	10.3"
4/5/2008,"	8.9"
4/6/2008,"	11.1"
4/7/2008,"	11.3"
4/8/2008,"	8.2"
4/9/2008,"	7.5"
4/10/2008,"	11"
4/11/2008,"	10.2"
4/12/2008,"	7.7"
4/13/2008,"	8.6"
4/14/2008,"	6.3"
4/15/2008,"	8.1"
4/16/2008,"	8.6"
4/17/2008,"	8.3"
4/18/2008,"	7.9"
4/19/2008,"	9.9"
4/20/2008,"	8.6"
4/21/2008,"	9.6"
4/22/2008,"	11.2"
4/23/2008,"	12.8"
4/24/2008,"	12.2"
4/25/2008,"	14.3"
4/26/2008,"	13.4"
4/27/2008,"	13.1"
4/28/2008,"	10.8"
4/29/2008,"	11.1"
4/30/2008,"	8.2"
5/1/2008,"	11.2"
5/2/2008,"	13.3"
5/3/2008,"	15.3"
5/4/2008,"	15.9"
5/5/2008,"	14.7"
5/6/2008,"	14"
5/7/2008,"	13.9"
5/8/2008,"	14.3"
5/9/2008,"	15.8"
5/10/2008,"	17.3"
5/11/2008,"	14.7"
5/12/2008,"	14"
5/13/2008,"	13.8"
5/14/2008,"	14.8"
5/15/2008,"	14.1"
5/16/2008,"	12.7"
5/17/2008,"	13"
5/18/2008,"	14.5"
5/19/2008,"	12.7"
5/20/2008,"	14.4"
5/21/2008,"	13"
5/22/2008,"	13.9"
5/23/2008,"	14.3"
5/24/2008,"	14.6"
5/25/2008,"	14"
5/26/2008,"	15.2"
5/27/2008,"	18"
5/28/2008,"	18"
5/29/2008,"	15.5"
5/30/2008,"	15.1"
5/31/2008,"	16.5"
6/1/2008,"	18.7"
6/2/2008,"	15.7"
6/3/2008,"	16"
6/4/2008,"	14.4"
6/5/2008,"	14.4"
6/6/2008,"	14.5"
6/7/2008,"	14.3"
6/8/2008,"	14.5"
6/9/2008,"	15.2"
6/10/2008,"	16.3"
6/11/2008,"	16.4"
6/12/2008,"	16.5"
6/13/2008,"	15.3"
6/14/2008,"	13.7"
6/15/2008,"	14.3"
6/16/2008,"	15.5"
6/17/2008,"	15.6"
6/18/2008,"	17.2"
6/19/2008,"	19.1"
6/20/2008,"	20.3"
6/21/2008,"	21.8"
6/22/2008,"	22.2"
6/23/2008,"	21.7"
6/24/2008,"	21.5"
6/25/2008,"	21.9"
6/26/2008,"	22.2"
6/27/2008,"	21.4"
6/28/2008,"	23.2"
6/29/2008,"	23.2"
6/30/2008,"	22.2"
7/1/2008,"	21.9"
7/2/2008,"	21.1"
7/3/2008,"	19.6"
7/4/2008,"	20.7"
7/5/2008,"	21.3"
7/6/2008,"	20.8"
7/7/2008,"	19.8"
7/8/2008,"	19.3"
7/9/2008,"	18.8"
7/10/2008,"	20.3"
7/11/2008,"	21.2"
7/12/2008,"	21"
7/13/2008,"	21"
7/14/2008,"	17.2"
7/15/2008,"	19"
7/16/2008,"	19.6"
7/17/2008,"	19.4"
7/18/2008,"	20.3"
7/19/2008,"	20.8"
7/20/2008,"	19.9"
7/21/2008,"	20.1"
7/22/2008,"	18.9"
7/23/2008,"	19.4"
7/24/2008,"	19.7"
7/25/2008,"	20"
7/26/2008,"	21.3"
7/27/2008,"	20.9"
7/28/2008,"	20.9"
7/29/2008,"	21"
7/30/2008,"	22.9"
7/31/2008,"	23.5"
8/1/2008,"	23.2"
8/2/2008,"	22.6"
8/3/2008,"	22.8"
8/4/2008,"	22.6"
8/5/2008,"	23.6"
8/6/2008,"	23.6"
8/7/2008,"	23.2"
8/8/2008,"	23.2"
8/9/2008,"	21.4"
8/10/2008,"	21.1"
8/11/2008,"	19.6"
8/12/2008,"	21.5"
8/13/2008,"	22.1"
8/14/2008,"	20.1"
8/15/2008,"	18.6"
8/16/2008,"	17.9"
8/17/2008,"	18.1"
8/18/2008,"	19.2"
8/19/2008,"	20.8"
8/20/2008,"	21.6"
8/21/2008,"	20.7"
8/22/2008,"	20.9"
8/23/2008,"	20.4"
8/24/2008,"	19.4"
8/25/2008,"	18.4"
8/26/2008,"	19.9"
8/27/2008,"	20.8"
8/28/2008,"	21.7"
8/29/2008,"	22"
8/30/2008,"	21.8"
8/31/2008,"	21.3"
9/1/2008,"	20.7"
9/2/2008,"	19.9"
9/3/2008,"	19.4"
9/4/2008,"	19.4"
9/5/2008,"	20.2"
9/6/2008,"	20.9"
9/7/2008,"	19.1"
9/8/2008,"	17.1"
9/9/2008,"	19.1"
9/10/2008,"	22"
9/11/2008,"	21"
9/12/2008,"	20.5"
9/13/2008,"	15.9"
9/14/2008,"	14.4"
9/15/2008,"	15.1"
9/16/2008,"	14.3"
9/17/2008,"	13.9"
9/18/2008,"	15.9"
9/19/2008,"	14.9"
9/20/2008,"	14.8"
9/21/2008,"	12.8"
9/22/2008,"	11.8"
9/23/2008,"	11.6"
9/24/2008,"	11.9"
9/25/2008,"	11.6"
9/26/2008,"	11.6"
9/27/2008,"	11"
9/28/2008,"	11.6"
9/29/2008,"	12.4"
9/30/2008,"	13.4"
10/1/2008,"	14"
10/2/2008,"	14.4"
10/3/2008,"	12.4"
10/4/2008,"	10.3"
10/5/2008,"	10.4"
10/6/2008,"	12.3"
10/7/2008,"	14.2"
10/8/2008,"	14.6"
10/9/2008,"	15.4"
10/10/2008,"	14.9"
10/11/2008,"	14.7"
10/12/2008,"	14.4"
10/13/2008,"	15"
10/14/2008,"	16.6"
10/15/2008,"	15.2"
10/16/2008,"	16.4"
10/17/2008,"	15"
10/18/2008,"	14.6"
10/19/2008,"	13.8"
10/20/2008,"	15"
10/21/2008,"	14.9"
10/22/2008,"	14.7"
10/23/2008,"	15.3"
10/24/2008,"	14.7"
10/25/2008,"	13.9"
10/26/2008,"	13.8"
10/27/2008,"	12.3"
10/28/2008,"	10.8"
10/29/2008,"	11.1"
10/30/2008,"	6.1"
10/31/2008,"	7.4"
11/1/2008,"	10.1"
11/2/2008,"	12.1"
11/3/2008,"	8.7"
11/4/2008,"	10"
11/5/2008,"	8.6"
11/6/2008,"	9.2"
11/7/2008,"	7.6"
11/8/2008,"	8"
11/9/2008,"	8.2"
11/10/2008,"	9.1"
